municipio,pre_2013,pos_2013,sede,tipo_alteracao
Sátão,SILVÃ DE CIMA,SILVÃ DE CIMA,SILVÃ DE CIMA,sem alteração
Sátão,VILA LONGA,"UNIÃO DAS FREGUESIAS DE ROMÃS, DECERMILO E VILA LONGA",ROMÃS,criada por agregação
São Brás de Alportel,SÃO BRÁS DE ALPORTEL,SÃO BRÁS DE ALPORTEL,SÃO BRÁS DE ALPORTEL,sem alteração
São João da Madeira,SÃO JOÃO DA MADEIRA,SÃO JOÃO DA MADEIRA,SÃO JOÃO DA MADEIRA,sem alteração
São João da Pesqueira,CASTANHEIRO DO SUL,CASTANHEIRO DO SUL,CASTANHEIRO DO SUL,sem alteração
São João da Pesqueira,ERVEDOSA DO DOURO,ERVEDOSA DO DOURO,ERVEDOSA DO DOURO,sem alteração
São João da Pesqueira,ESPINHOSA,UNIÃO DAS FREGUESIAS DE TREVÕES E ESPINHOSA,TREVÕES,criada por agregação
São João da Pesqueira,NAGOZELO DO DOURO,NAGOZELO DO DOURO,NAGOZELO DO DOURO,sem alteração
São João da Pesqueira,PAREDES DA BEIRA,PAREDES DA BEIRA,PAREDES DA BEIRA,sem alteração
São João da Pesqueira,PEREIROS,UNIÃO DAS FREGUESIAS DE VILAROUCO E PEREIROS,VILAROUCO,criada por agregação
São João da Pesqueira,RIODADES,RIODADES,RIODADES,sem alteração
São João da Pesqueira,SÃO JOÃO DA PESQUEIRA,UNIÃO DAS FREGUESIAS DE SÃO JOÃO DA PESQUEIRA E VÁRZEA DE TREVÕES,SÃO JOÃO DA PESQUEIRA,criada por agregação
São João da Pesqueira,SOUTELO DO DOURO,SOUTELO DO DOURO,SOUTELO DO DOURO,sem alteração
São João da Pesqueira,TREVÕES,UNIÃO DAS FREGUESIAS DE TREVÕES E ESPINHOSA,TREVÕES,criada por agregação
São João da Pesqueira,VALE DE FIGUEIRA,VALE DE FIGUEIRA,VALE DE FIGUEIRA,sem alteração
São João da Pesqueira,VALONGO DOS AZEITES,VALONGO DOS AZEITES,VALONGO DOS AZEITES,sem alteração
São João da Pesqueira,VÁRZEA DE TREVÕES,UNIÃO DAS FREGUESIAS DE SÃO JOÃO DA PESQUEIRA E VÁRZEA DE TREVÕES,SÃO JOÃO DA PESQUEIRA,criada por agregação
São João da Pesqueira,VILAROUCO,UNIÃO DAS FREGUESIAS DE VILAROUCO E PEREIROS,VILAROUCO,criada por agregação
São Pedro do Sul,BAIÕES,"UNIÃO DAS FREGUESIAS DE SÃO PEDRO DO SUL, VÁRZEA E BAIÕES",SÃO PEDRO DO SUL,criada por agregação
São Pedro do Sul,BORDONHOS,BORDONHOS,BORDONHOS,sem alteração
São Pedro do Sul,CANDAL,UNIÃO DAS FREGUESIAS DE CARVALHAIS E CANDAL,CARVALHAIS,criada por agregação
São Pedro do Sul,CARVALHAIS,UNIÃO DAS FREGUESIAS DE CARVALHAIS E CANDAL,CARVALHAIS,criada por agregação
São Pedro do Sul,COVAS DO RIO,UNIÃO DAS FREGUESIAS DE SÃO MARTINHO DAS MOITAS E COVAS DO RIO,SÃO MARTINHO DAS MOITAS,criada por agregação
São Pedro do Sul,FIGUEIREDO DE ALVA,FIGUEIREDO DE ALVA,FIGUEIREDO DE ALVA,sem alteração
São Pedro do Sul,MANHOUCE,MANHOUCE,MANHOUCE,sem alteração
São Pedro do Sul,PINDELO DOS MILAGRES,PINDELO DOS MILAGRES,PINDELO DOS MILAGRES,sem alteração
São Pedro do Sul,PINHO,PINHO,PINHO,sem alteração
São Pedro do Sul,SANTA CRUZ DA TRAPA,UNIÃO DAS FREGUESIAS DE SANTA CRUZ DA TRAPA E SÃO CRISTÓVÃO DE LAFÕES,SANTA CRUZ DA TRAPA,criada por agregação
São Pedro do Sul,SÃO CRISTÓVÃO DE LAFÕES,UNIÃO DAS FREGUESIAS DE SANTA CRUZ DA TRAPA E SÃO CRISTÓVÃO DE LAFÕES,SANTA CRUZ DA TRAPA,criada por agregação
São Pedro do Sul,SÃO FÉLIX,SÃO FÉLIX,SÃO FÉLIX,sem alteração
São Pedro do Sul,SÃO MARTINHO DAS MOITAS,UNIÃO DAS FREGUESIAS DE SÃO MARTINHO DAS MOITAS E COVAS DO RIO,SÃO MARTINHO DAS MOITAS,criada por agregação
São Pedro do Sul,SÃO PEDRO DO SUL,"UNIÃO DAS FREGUESIAS DE SÃO PEDRO DO SUL, VÁRZEA E BAIÕES",SÃO PEDRO DO SUL,criada por agregação
São Pedro do Sul,SERRAZES,SERRAZES,SERRAZES,sem alteração
São Pedro do Sul,SUL,SUL,SUL,sem alteração
São Pedro do Sul,VALADARES,VALADARES,VALADARES,sem alteração
São Pedro do Sul,VÁRZEA,"UNIÃO DAS FREGUESIAS DE SÃO PEDRO DO SUL, VÁRZEA E BAIÕES",SÃO PEDRO DO SUL,criada por agregação
São Pedro do Sul,VILA MAIOR,VILA MAIOR,VILA MAIOR,sem alteração
Seia,ALVOCO DA SERRA,ALVOCO DA SERRA,ALVOCO DA SERRA,sem alteração
Seia,CABEÇA,UNIÃO DAS FREGUESIAS DE VIDE E CABEÇA,VIDE,criada por agregação
Seia,CARRAGOZELA,UNIÃO DAS FREGUESIAS DE CARRAGOZELA E VÁRZEA DE MERUGE,CARRAGOZELA,criada por agregação
Seia,FOLHADOSA,UNIÃO DAS FREGUESIAS DE TORROZELO E FOLHADOSA,TORROZELO,criada por agregação
Seia,GIRABOLHOS,GIRABOLHOS,GIRABOLHOS,sem alteração
Seia,LAJES,UNIÃO DAS FREGUESIAS DE TOURAIS E LAJES,TOURAIS,criada por agregação
Seia,LAPA DOS DINHEIROS,"UNIÃO DAS FREGUESIAS DE SEIA, SÃO ROMÃO E LAPA DOS DINHEIROS",SÃO ROMÃO,criada por agregação
Seia,LORIGA,LORIGA,LORIGA,sem alteração
Seia,PARANHOS,PARANHOS,PARANHOS,sem alteração
Seia,PINHANÇOS,PINHANÇOS,PINHANÇOS,sem alteração
Seia,SABUGUEIRO,SABUGUEIRO,SABUGUEIRO,sem alteração
Seia,SAMEICE,UNIÃO DAS FREGUESIAS DE SAMEICE E SANTA EULÁLIA,SAMEICE,criada por agregação
Seia,SANDOMIL,SANDOMIL,SANDOMIL,sem alteração
Seia,SANTA COMBA,SANTA COMBA,SANTA COMBA,sem alteração
Seia,SANTA EULÁLIA,UNIÃO DAS FREGUESIAS DE SAMEICE E SANTA EULÁLIA,SAMEICE,criada por agregação
Seia,SANTA MARINHA,UNIÃO DAS FREGUESIAS DE SANTA MARINHA E SÃO MARTINHO,SANTA MARINHA,criada por agregação
Seia,SANTIAGO,SANTIAGO,SANTIAGO,sem alteração
Seia,SAZES DA BEIRA,SAZES DA BEIRA,SAZES DA BEIRA,sem alteração
Seia,SÃO MARTINHO,UNIÃO DAS FREGUESIAS DE SANTA MARINHA E SÃO MARTINHO,SANTA MARINHA,criada por agregação
Seia,SÃO ROMÃO,"UNIÃO DAS FREGUESIAS DE SEIA, SÃO ROMÃO E LAPA DOS DINHEIROS",SÃO ROMÃO,criada por agregação
Seia,SEIA,"UNIÃO DAS FREGUESIAS DE SEIA, SÃO ROMÃO E LAPA DOS DINHEIROS",SÃO ROMÃO,criada por agregação
Seia,TEIXEIRA,TEIXEIRA,TEIXEIRA,sem alteração
Seia,TORROZELO,UNIÃO DAS FREGUESIAS DE TORROZELO E FOLHADOSA,TORROZELO,criada por agregação
Seia,TOURAIS,UNIÃO DAS FREGUESIAS DE TOURAIS E LAJES,TOURAIS,criada por agregação
Seia,TRAVANCINHA,TRAVANCINHA,TRAVANCINHA,sem alteração
Seia,VALEZIM,VALEZIM,VALEZIM,sem alteração
Seia,VÁRZEA DE MERUGE,UNIÃO DAS FREGUESIAS DE CARRAGOZELA E VÁRZEA DE MERUGE,CARRAGOZELA,criada por agregação
Seia,VIDE,UNIÃO DAS FREGUESIAS DE VIDE E CABEÇA,VIDE,criada por agregação
Seia,VILA COVA À COELHEIRA,VILA COVA À COELHEIRA,VILA COVA À COELHEIRA,sem alteração
Seixal,ALDEIA DE PAIO PIRES,"UNIÃO DAS FREGUESIAS DO SEIXAL, ARRENTELA E ALDEIA DE PAIO PIRES",ARRENTELA,criada por agregação
Seixal,AMORA,AMORA,AMORA,sem alteração
Seixal,ARRENTELA,"UNIÃO DAS FREGUESIAS DO SEIXAL, ARRENTELA E ALDEIA DE PAIO PIRES",ARRENTELA,criada por agregação
Seixal,CORROIOS,CORROIOS,CORROIOS,sem alteração
Seixal,FERNÃO FERRO,FERNÃO FERRO,FERNÃO FERRO,sem alteração
Seixal,SEIXAL,"UNIÃO DAS FREGUESIAS DO SEIXAL, ARRENTELA E ALDEIA DE PAIO PIRES",ARRENTELA,criada por agregação
Sernancelhe,ARNAS,ARNAS,ARNAS,sem alteração
Sernancelhe,CARREGAL,CARREGAL,CARREGAL,sem alteração
Sernancelhe,CHOSENDO,CHOSENDO,CHOSENDO,sem alteração
Sernancelhe,CUNHA,CUNHA,CUNHA,sem alteração
Sernancelhe,ESCURQUELA,UNIÃO DAS FREGUESIAS DE FONTE ARCADA E ESCURQUELA,FONTE ARCADA,criada por agregação
Sernancelhe,FAIA,FAIA,FAIA,sem alteração
Sernancelhe,FERREIRIM,UNIÃO DAS FREGUESIAS DE FERREIRIM E MACIEIRA,FERREIRIM,criada por agregação
Sernancelhe,FONTE ARCADA,UNIÃO DAS FREGUESIAS DE FONTE ARCADA E ESCURQUELA,FONTE ARCADA,criada por agregação
Sernancelhe,FREIXINHO,UNIÃO DAS FREGUESIAS DE PENSO E FREIXINHO,PENSO,criada por agregação
Sernancelhe,GRANJAL,GRANJAL,GRANJAL,sem alteração
